,Unnamed: 0,issuekey,title,description,storypoint,project
13620,14765,STUDIO-6845,as a user i would like to have an option to customise the palette,as a user i would like to have an option to customise the palette so that i can choose what elements appear in it this option should appear both as a preference page and as an accesible button in the palette view which will open the aforementioned preference page the preference page will allow to define new presets remove new presets edit already created presets select categories and elements that will be stored in the preset when the user clicks apply or ok the palette must be updated with the elements of the selected preset some considerations to take into account about presets presets will be stored as preferences as a workspace level each preset is associated to a runtime version then a preset can be used in projects with the same runtime version the preset preference page will not show presets that were created for a different runtime version than the current inuse project for example if a preset was created using a mule project with 35 runtime it will not be shown when a user is working on a project that is using 37 the preference page must present at least a default preset and a weave preset the first one will show all the elements that exist in the current runtime thats the runtime that is being used by the current mule project the second one will show all the elements but not the transformers instead the new weave transformer must be shown both presets cant be edited as a nicetohave presets should be importedexported in order to share them with others users,8,mulestudio
13621,14766,STUDIO-6846,as a user i would like to have a new palette view,as a user i would like to have a new separated palette view so that i can work with all the elements that are important for me in an userfriendly way,21,mulestudio
13933,15173,XD-434,consider removing the topicqueues when deleting the stream,as a user id like to have the option to delete the queuestopics so that we can include an _optional_ attribute as part of the stream destroy command to also cleanup the associated queuestopics notes springamqp rabbitadmin now has a getqueueproperties method which returns the number of consumers so it may be possible to use it for this purpose consider the possibility of _producers_ andor _queues_ still containing data consider the scenario even after the topicsqueues are cleanedup what to do with fanout exchange some further thoughts consider using the upcoming spring amqp rest api rabbitmanagementtemplate if the timing is not right we could temporarily invoke the rabbit rest api directly should be optional perhaps via stream destroy foo clean should this be done by the admin or via a new plugin handling module undeployments in the rabbit case undeploying a consumer would check for us being the last consumer and remove the queuebindingexchange since we undeploy leftright everything can be cleaned up on the consumer side third option would be new methods on the bus cleanconsumer etc invoked by the streamplugin down side of doing it on the admin is that he wouldnt necessarily know which rabbit cluster a stream was deployed to so it probably has to happen on the container even so wed need the admin url for the cluster,5,springxd
14309,15635,XD-923,error channel for streams modules that fail to process a message,as a user id like to be notified when a exception is thrown in a module so that i can tap into an error channel to receive the failures for each streammodule,8,springxd
14913,16372,XD-1695,research how to secure admins rest endpoints,as a user id like to have the option to provide security configurations so that i can access rest endpoints in a secured manner ideally all the listed rest endpoints needs to be wrapped within a security layer scope of this spike research spring security and spring boot and the ootb features design considerations and approach for xd developer experience how users will be configuring security credentials how dsl shell will be handled how admin ui will be handled,8,springxd
15051,16535,XD-1864,add paging support for ui list views,as a user id like to have _paging_ support so that i can scroll through the list of streams jobs and containers currently the following error is thrown when we cross 20 rows httplocalhost9393jobsdefinitionsjson json response codexml links logref illegalstateexception message not all instances were looked at code stack trace code 155121931 error httpnio9393exec9 restrestcontrolleradvice caught exception while handling a request javalangillegalstateexception not all instances were looked at orgspringframeworkutilassertstate code,5,springxd
15201,16709,XD-2044,add sftp source,as a user id like to have the option to use the _sftp_ source module so that i can access transfer and mange files over any reliable data streams reference spring integration sftp adapterhttpdocsspringiospringintegrationreferencesftp need to consider the infrastructure for testing,2,springxd
15212,16720,XD-2055,add elasticsearch sink,as a user i should be able to leverage native _elasticsearch_ sink so that i can aggregate search and analyze data insights in realtime,8,springxd
15243,16753,XD-2090,custom module packaging strategy,as a user id like to have guidance to create custom modules so that i can align the development practices with recommended approach 1120 update scope of this task is to create an example to demonstrate and document the capability,1,springxd
15254,16765,XD-2103,add kafka sink,as a user id like to have the option to write into _kafka_ sink so that i can publish mass data into kafka broker,8,springxd
15257,16768,XD-2106,provide the ability to visualize xd cluster view,as a user id like to have the ability to visually explore xds cluster view so that im aware where the components are deployed and how they are connected within the topology,2,springxd
15269,16780,XD-2119,support accessing admin server endpoints over https,as a user id like to have the option to enable https so that i can access xds admin server endpoints over secured communication technical implementation this functionality is available in spring boot 120 m1 and has been backported into the 11x branch to be released under spring 117 we can test against 117 snapshot working through the way to update the build file to pick up a new version of boot is a bit tricky,1,springxd
15270,16781,XD-2120,provide file based storage for users groups,as a user id like to have the option to provide file based security configurations so that i can access the endpoints in a secured manner ideally all the listed endpoints needs to be encapsulated within file based security layer reference securing web app,5,springxd
15271,16782,XD-2121,secure all endpoints using ldap based security configurations,as a user id like to have the option to provide ldap based security configurations so that i can access the endpoints in a secured manner ideally all the listed endpoints needs to be encapsulated within ldap based security layer reference authentication using ldap,8,springxd
15272,16783,XD-2122,secure endpoints using either role_viewer and role_admin,as a user id like to have the option to configure default access control for endpoints so that i can grant access by _admin_ or _viewer_ roles,8,springxd
15273,16784,XD-2123,provide kerberos support for hdfs sink,as a user id like to have the option of _kerberized_ hdfs sink so that i can leverage kerberos for secured data writes into hadoop,3,springxd
15274,16785,XD-2124,research integration options for sqoop tasklet,as a user id like to have the ability to massingest data from various database systems so that im not restricted with the current approach that is dependent on jdbc drivers spike scope identify integration options collaborate to determine the design document outcome,5,springxd
15275,16786,XD-2125,add hbase sink,as a user i would like to have an option to write data into hbase sink so that i can perform random realtime readwrite access on big data,8,springxd
15276,16787,XD-2126,add file roll sink,as a user id like to have the option to write into _file roll_ sink so that i can store events on the local file system,8,springxd
15277,16788,XD-2127,add jmx source,as a user id like to have the option of _jmx_ source module so that i can publishsubscribe to jmx notifications reference sprint integration jmx supporthttpdocsspringiospringintegrationreferencesystemmanagementchapterjmx,3,springxd
15278,16789,XD-2128,add websocket source,as a user id like to have the option of _websocket_ source module so that i can create a interactive communication channel between users browser session and the runtime to ingest browser based events and activities reference spring integration websocket support,3,springxd
15279,16790,XD-2129,add s3 source,as a user id like to have an option of _aws_ source module so that i can ingest data from amazon s3 or use the simple email service reference spring integration aws extension,5,springxd
15280,16791,XD-2130,add cassandra sink,as a user id like to have the option of _cassandra_ sink so i can leverage the nosql database to write high volumes of variable data segments in high velocity,3,springxd
15281,16792,XD-2131,add s3 sink,as a user id like to have the option of _aws_ sink so that i can write data into s3 directly reference spring integration aws extension,5,springxd
15282,16793,XD-2132,add hawq sink,as a user id like to have the option of _hawq_ sink so that i can write data directly into hawq via pxf extensions through avroparquet format,3,springxd
15283,16794,XD-2133,add solr sink,as a user id like to have the option of _solr_ sink so that i can perform fulltext indexing and search through solr backend server,5,springxd
15284,16796,XD-2135,add explicit error channel support,as a user id like to have the option to explicitly defineconfigure error channel so that i can stage and route the errorsexceptions through the dedicated channel and continue ingestion scenario http source ingest failure at either source processor or sink module regardless of whether it is a custom module or not traverse through the exception to propagate the actual _caused by_ stage the error as payload and route it to the error channel example configuration error channel definition similar to topicerrorsstreammodule configure custom exception similar to catchexception exception hierarchy globalexception defaultexception modulespecificexception,8,springxd
15285,16797,XD-2136,restrict the use of reserved keywords,as a user i should not be allowed to create a custom module with a _reserved_ keywords so that i it will avoid confusions from seeing duplicate strings in deployment manifest example we would like to avoid a _custom_ module name of producer to eliminate the confusion below code xdstream deploy name test1 properties moduleproducerproducerdeliverymode persistentmodulelogcriteriagroupscontains code list of available reserved keywords,5,springxd
15286,16798,XD-2137,preserve partition state on container restarts,as a user id like to retain the data partitioning state so that when i restart the containers i continue to write based on the original partitioning strategy currently the state is not preserved hence on restarts the definition of partitioning strategy is lost due to different _hashcode_ design consideration mine through the container info to derive the partition index instead of relying on _hashcode_,5,springxd
15287,16799,XD-2138,test partitions by dynamic additionsdeletions of modules,as a user id like to have the data partition strategy state preserved so that when i adddelete modules they are able to dynamically adapt to the strategy this is already included as part of the ga release this story is to account for the testing effort,1,springxd
15292,16804,XD-2143,add basic auth support,as a user id like to have the option of _basic auth_ so that im challenged to provide _user name_ and _password_ when making a request technical implementation this functionality is provided in spring boot 11x it should be a matter of adding the spring boot security starter dependency to the springxddirt project it will be controlled using the spring boot property serverbasicenabled truefalse our default in applicationyml for this property should be false,1,springxd
15293,16805,XD-2144,support spring boots singleuser security configurations,as a user id like to have the option to provide singleuser security configurations so that i can override them as needed reference spring boot securityhttpdocsspringiospringbootdocs11xsnapshotreferencebootfeaturessecurity scope configurations can be provided through _serversyml_ file,1,springxd
15294,16806,XD-2145,xd shell needs to be be able to authenticate using basic auth to admin server,as a user i want to be able to provide security credentials to the xd shell so that i can interact with an xd admin server that is secured via basic auth technical implementation add password and username to the admin config command,5,springxd
15295,16807,XD-2146,upgrade to spring boot 117snapshot,as a user id like to have latest spring boot snapshot pulled as a dependency so that i can inherit and implement the ootb security features,1,springxd
15296,16808,XD-2147,upgrade to spring boot 117release,as a user id like to have latest spring boot release pulled as a dependency so that i can inherit and implement the ootb security features,1,springxd
15302,16815,XD-2154,research rest endpoint approach to push custom module,as a user id like to have a rest api to point and push an archive that includes custom module definitions and configurations so that i dont have to manually move and set it up scope of this spike assess customer requirement brainstorm and document options socialize with the team to collect feedback identify phases create new stories,8,springxd
15304,16819,XD-2158,provide docker image for developers,as a user i need a sandbox docker image so that i can get started to experiment xd deployment with the following setup ubuntu os full xd jar java 7x redis rabbitmq,5,springxd
15305,16820,XD-2159,provide docker image for production deployment,as a user i need a productionready docker image so that i can use that as a baseline to deploy xd with the following setup ubuntu os full xd jar java 7x,8,springxd
15306,16821,XD-2163,provide ability to configure docker containers,as a user i need the ability to configure docker xd containers so that i can link to external services such as _rabbit redis zookeeper hadoop mongo etc_ includes pointers to linkingbinding attributes environment variables,8,springxd
15307,16822,XD-2164,provide support for docker service discovery,as a user i want to configure docker xd containers using service discovery so that i can have tools to manage how processes and services in a cluster can find and talk to one another,8,springxd
15308,16823,XD-2165,provide ci build support for docker images,as a user i need to have the ability to create docker images via ci build so that i can build all the componentsconfigurations i need into a docker image test it and deploy the image to various environments,8,springxd
15309,16824,XD-2166,research the approach for xd runtime on mesos,as a user i need a document covering our recommendations for deploying a xd cluster using mesos with the marathon framework,8,springxd
15310,16826,XD-2169,evaluate spring boot dependency upgrade,as a user id like to evaluate spring boot dependency upgrades so that i can make sure there arent any side effects or impacts to existing functionalities,3,springxd
15318,16835,XD-2178,add remote partitioning on jdbchdfs job,as a user id like to have the option to supply data partitioning strategy so that i can parallelize ingest of data from rdbms to hdfs,8,springxd
15319,16836,XD-2179,add hdfs source,as a user id like to have the option of _hdfs_ source module so that i can ingest data directly from hdfs file system,3,springxd
15320,16837,XD-2180,expose property to change commitinterval,as a user id like to override the default commitinterval so that i can configure commit interval depending on data volume note this would apply for all ootb jobs that has partition support the property could be part of _serversyml_ file,3,springxd
15321,16838,XD-2181,document how to enable ssl and basic authentication,as a user i want to know my configuration options are for enabling sslhttps and basic authentication for administration endpoints so that i can secure my application,1,springxd
15322,16839,XD-2182,document how to enable ldap security for admin endpoints,as a user i want to know how to enable and configure ldap as an authentication provider for the administration server so that i can set up my security configuration accordingly,1,springxd
15341,16860,XD-2205,add python processor,as a user id like to have a _python_ processor so that i can efficiently perform data computations and statistical analysis investigate the right approach that fits spring xd model integrate java and python,8,springxd
15342,16861,XD-2206,add r processor,as a user id like to have a _r_ processor so i can efficiently perform data computations and statistical analysis in the context of streaming pipeline investigate the right approach that fits spring xd model r java libraries rjavahttprforgenetrjava renjinhttp,8,springxd
15343,16862,XD-2207,add hive sink,as a user i would like to have an option to write data into _hive_ sink so that i can query and manage large datasets in distributed storage,5,springxd
15352,16871,XD-2216,upgrade to spring 412 si 410 sa 140,as a user id like to have spring core upgraded to 411 so that i can benefit from performance improvements associated with compiled spel and other enhancements,3,springxd
15354,16873,XD-2218,add support to define granular security definitions by entity,as a user id like to define security definitions so that i can configure entity specific grouprole access policies,8,springxd
15355,16874,XD-2219,add support to configure security definitions via shell,as a user id like to have the ability to configure acls so that i can restrict access to resources accessed via dsl shell examples who can create streams who can destroy the streams who can view the streams,8,springxd
15356,16875,XD-2220,add support to configure security definitions via admin ui,as a user id like to have the ability to configure acls so that i can restrict access to resources accessed via admin ui examples who can create streams who can destroy the streams who can view the streams,8,springxd
15361,16880,XD-2226,add support for configurable zk namespace,as a user id like to have the flexibility to change the namespace so that i can isolate zk _metadata_ based on each _tenant_ profile,5,springxd
15363,16882,XD-2228,remove logging of password in shell,as a user id like to type the _username_ and _password_ to gain access to admin server so that i dont have to add it in some file hence i dont have to worry about having the password getting logged somewhere,5,springxd
15365,16884,XD-2230,fix the configuration problem with filter and transform modules,as a user id like to leverage _propertieislocation_ parameter while using filter or transform modules so that i can load the userdefined properties included in the external properties file attempting to include the _propertieislocation_ attribute errors out refer to the attachment it could also be beneficial to load userdefined properties through stream definition similar to deployment properties example scriptmyscriptgroovy variablesfoobargoogaz,5,springxd
15366,16885,XD-2231,document job repo schema overrides,as a user id like to have the flexibility to configure db creds so that i can use a db of choice for batch job repository the scope of this task is to have the configuration specifics documented in the wiki,2,springxd
15379,16899,XD-2246,document default behavior if config option is not present,as a user id like to have the flexibility to specify config options for ip and hostname so that i can list the correct configuration for xd admin and xd container servers in the adminui and shell,1,springxd
15392,16913,XD-2261,document userdefined permission to role mapping,as a user id like to have the option to configure permissions so that ill have the flexibility to bind permissions to a specific role default roles admin viewer,2,springxd
15417,16938,XD-2288,research how to use admin server ports from zk,as a user id like to have the ability to access the random port of the admin server so that i can point to the server and continue my interactions spike details research whether connecting _xdshell_ directly to zk is a good approach or have a lb incharge for the interaction how about something other than a pointer to a zk directory in the shell for folks to experiment a bit before getting a lb involved note on some hadoophdfs setups access to zk is mandatory from hdfs client libs there are some ha and federation setups which would anyway require xd shell to get access to zk if fs shell commands are used,8,springxd
15422,16944,XD-2295,add support for audiovideo source,as a user id like to stream ingest audio and video data so that i can apply predictive analytics algorithms for facial detection spike scope research the feasibility of implementing motionjpeghttpenwikipediaorgwikimotion_jpeg design specs on motionjpeg format note opencvhttpdocsopencvorgtrunkdocpy_tutorialspy_objdetectpy_face_detectionpy_face_detection although having ootb support it is not platform compatible,8,springxd
15423,16945,XD-2296,add config parameter to enabledisable message rates in cluster view,as a user id like to have a config parameter preferably in _serversyml_ file so that i can enabledisable message rates in the cluster view,2,springxd
15424,16946,XD-2298,review poc and identify scope for gpload as ootb batch job,as a user id like to mass ingest data from databases into hdfshawqgpdb so that i dont have to write custom code and as well as be able to ingest in an efficient way,5,springxd
15428,16951,XD-2304,research refactoring effort for kafka source to use simple consumer instead of highlevel api,as a user id like to use kafka source through simple consumer api so that i can gain full control to offsets and partition assignment deterministically spike scope study simple consumer api functionality document findings approach and next steps,8,springxd
15430,16953,XD-2306,add support to install custom module archive,as a user id like to push the custom module via a rest api so that i can install the custom module in cluster,8,springxd
15432,16955,XD-2308,create sample app to demonstrate kafka integration,as a user id like to have a sample app so that i can use it as a reference while provisioning spring xd cluster with kafka consider kafka as message bus kafka as source,8,springxd
15435,16958,XD-2311,add generator source,as a user id like to have a _generator_ source module so that i can create a number of messages of a specified size example generator nummsgs 10000 msgsize 1024 numthreads 1,8,springxd
15436,16959,XD-2312,add perf_meter sink,as a user id like to have a _perfmeter_ sink that will collect and push metrics to the standard container log file example perfmeter nummsgs 1000 will write to the container log a timestamp message count and message rate every 1000 messages the message rate is the value since the last log event default values are those specified above,8,springxd
15437,16960,XD-2313,baseline,as a user id like to create a stream such as _generator perfmeter_ so that i can ingest 1m messages of 1000 bytes and one thread using xds singlenode container and measure performance characteristics,8,springxd
15464,16989,XD-2347,document kafka message bus,as a user id like to refer to documentation in wiki so that i can setup and configure kafka as a message bus as recommended,2,springxd
15465,16990,XD-2348,document spark job,as a user id like to refer to documentation in wiki so that i can setup and configure spark as a batch job as recommended,1,springxd
15466,16991,XD-2349,document kafka sourcesink,as a user id like to refer to documentation in wiki so that i can setup and configure kafka as a source or a sink as recommended,1,springxd
15472,16997,XD-2358,add starting offset support for kafka source,as a user i want to be able to control the starting offset of the kafka source when a stream is deployed so that i can replay a topic if necessary note starting offset is only considered when the stream is deployed progress made by modules must survive their crash for a running stream undeploying and redeploying a stream with a specific start offset will cause the stream to read again from the start tbd what happens when streams are undeployedredeployed where do they resume from,8,springxd
15473,16998,XD-2359,add partition allocation support for kafka source,as a user i want to be able to control the partition allocation for the kafka source modules when a stream is deployed so that i can colocate with other data sources,8,springxd
15474,16999,XD-2360,preallocate partitions for kafka source,as a user i want spring xd to preallocate a set of partitions between the kafka source modules when a stream is deployed so that deployment is simpler and rebalancing doesnt take place,8,springxd
15475,17000,XD-2361,preallocate partitions for kafka message bus,as a user i want spring xds message bus to be able to preallocate partitions between nodes when a stream is deployed so that rebalancing doesnt happen when a container crashes andor its redeployed,8,springxd
15487,17012,XD-2375,research reactorstream integration options,as a user id like to have a _reactorstream_ processor module so that i can ingest data using xd source modules and process them as timewindow operations example 1 http reactorstream timewindow10s fieldpayloadsensordata expressionsminavg this would give you 10 second time window of the min and avg values example 2 reactor as a module example 3 integration with spark streaming and reactor,8,springxd
15488,17013,XD-2376,add batching support for rabbit message bus,as a user id like to have _microbatching_ capability so that i can ingest based on batch intervals for enhanced performance throughput example http batchinterval10 log,5,springxd
15489,17014,XD-2377,update about section in ui with relevant release links,as a user id like to have api and documentation links in the about section within _adminui_ it would be ideal to have the version dynamically replaced for every release,1,springxd
15495,17020,XD-2383,add a shell command to push custom module,as a user id like to have a shell command so that i can point to the custombuilt _module_ archive and push it to the runtime for immediate usage,3,springxd
15496,17021,XD-2384,document custom module install procedures,as a user id like to refer to documentation so that i can build the custom module based on recommended standards and patterns,3,springxd
15498,17025,XD-2388,add support to host custom module in hdfs,as a user id like to have the custom module hosted in hdfs so that i can deploy the module to newly arriving containers,8,springxd
15506,17033,XD-2398,add websocket sink,as a user i should be able to leverage native _websocket_ sink so that i can take the advantage of fullduplex communications channels over a single tcp connection,8,springxd
15525,17053,XD-2420,add support for common dependent jars for modules,as a user id like to have a common shared location so that i can place the dependent jars that are required by 2 or more custom modules current recommendation place the dependent jar under xdlib folder if it necessary to support different versions of jars then bundle it in custom module to get around the _classloader_ problem if a oldernewer version exist in xdlib,5,springxd
15563,17102,XD-2471,kafka bus concurrency and compression support,as a user id like to have concurrency and compression support for kafka so that i can increase performance throughput andor increase responsiveness things to consider make global configuration options be defaults and allow perdeployment overrides add options for concurrency compression support,3,springxd
15564,17103,XD-2473,kafka bus add support for ack mode,as a user id like to have the option to _ack_ messages so that i can guarantee that the messagerequest sent is successful,3,springxd
15565,17104,XD-2474,add support for bindrequestor and bindreplier,as a user id like to have the option to implement _bindrequestor_ and _bindreplier_ so that i can bind a producer that expects async replies and bind a consumer that handles requests from a requestor and asynchronously sends replies respectively,3,springxd
15566,17105,XD-2475,add batching support to spring amqprabbit,as a user id like to have the option to setup _batching_ so that i can ingest data in batches as opposed to payloadatatime,8,springxd
15567,17106,XD-2477,add support to stop existing sqoop jobs,as a user id like to have the option to _stop_ an existing sqoop job so that i can cleanup resources at the time of completion,8,springxd
15568,17107,XD-2478,add support to access sqoop logs,as a user id like to access sqoop logs so that i can troubleshoot or evaluate the errors or current state respectively we will have to identify how to capture the sqoop logs and stream them to our logging mechanism,5,springxd
15569,17108,XD-2479,add metadata store for incrementalload,as a user id like to incrementaldataload so that i can retrieve only rows newer than some previouslyimported,5,springxd
15573,17112,XD-2483,add codec option to hdfsdataset sink,as a user i would like to be able disable snappy compression when using hdfsdataset sink with avro files id also like to be able to provide a different codec,1,springxd
15585,17127,XD-2498,add imapsmtp properties to mail sink,as a user id like to use the _mail_ sink to connect to secured imap andor smtp mail servers currently the sink doesnt support tls _mail_ sink config file requires a bean provided to the adapter via the javamailproperties attribute ref examplehttpdocsspringiospringintegrationdocslatestgareferencemail codexml javaxnetsslsslsocketfactory false imaps false code list of all javamail properties,1,springxd
15586,17128,XD-2499,document partitionresultstimeout metadata attribute,as a user id like to use _partitionresultstimeout_ attribute for jobs that inherit singlesteppartitioning strategy but it is not exposed as a metadata attribute in the wiki note the property should be available for all the jobs that import 3 ootb jobs have it imported,1,springxd
15597,17139,XD-2511,new yml file as deployment manifest,as a user id like to have a separate _yml_ file to list the deployment manifest properties so that i dont have to include as part of the stream definition,8,springxd
15599,17141,XD-2513,add support for message compression,as a user id like to have the option to _compress_ messages so that i can influence the performance throughput itd be beneficial to have support for gzip zip compression and decompression,3,springxd
15600,17142,XD-2514,add compression support for rabbit sourcesink,as a user id like to have the option of _compression_ for both rabbit _source_ and _sink_ modules so that can further enhance the performance characteristics,8,springxd
15601,17143,XD-2515,add batching support for rabbit sink,as a user id like to have the option of _batching_ for the rabbit _sink_ so that i can write data in batches as opposed to oneatatime,5,springxd
15608,17151,XD-2523,add gradle build support for custom module projects,as a user id like to have a gradle build option so that i can support module projects that will declare the spring xd dependencies as provided configure the boot plugin for module layout and other boilerplate build configuration this is dependent on boots module layout scoping issue,3,springxd
15612,17155,XD-2527,add support to extend message compression,as a user id like to have the option to extend compression support so that i can override the defaults and customize as needed followup from this pr,3,springxd
15613,17156,XD-2531,document sqoop job,as a user id like to refer to the documentation so that i can connect to sqoop as recommended and create job definition based on the exposed _metadata_ options,1,springxd
15619,17163,XD-2538,make db an optional peripheral for dirt,as a user id like to have an option to disable db requirement so that i can setup to use dirt runtime when stream processing is the only requirement,8,springxd
15621,17165,XD-2541,define developer facing interfaces for rxjava processors,as a user id like to implement the core interface contract so that i can create a processor module that uses rxjava api,1,springxd
15622,17166,XD-2542,create messagehandler for rxjava based processor modules,as a user id like to have a flexible rxjava module so that it can as a processor,8,springxd
15623,17167,XD-2543,research approach to define and administer access control list,as a user id like to have the option to define access control list so that i can define access controls to the resource by each user and what the privileges are for that resource spike scope review customer use cases and come up with design specs identify the best approach that fits xd runtime identify scope for dsl and ui document next steps and phases,8,springxd
15629,17174,XD-2550,add support to upload custom module artifact to hdfs,as a user id like to have the option to store the custom module uberjar in hdfs so that i can rely on the ha feature to reliably read and reinstall under failure scenarios,3,springxd
15630,17175,XD-2551,add support to read custom module artifact from hdfs,as a user id like to have the option to store the custom module uberjar in hdfs so that i can rely on the ha feature to reliably read and reinstall under failure scenarios,3,springxd
15633,17178,XD-2554,add support to stop existing spark job,as a user id like to have the option to stop an existing spark job so that i can cleanup resources at the time of completion,3,springxd
15637,17183,XD-2559,add redis based aggregate field value counters,as a user id like to have a redis based _aggregation_ over fieldvalue counters so that i can continuously write the aggregation in redis as we ingest more data scope port specs from previous implementation identify gaps update reference documentation,3,springxd
15638,17184,XD-2560,add inmemory based aggregate field value counters,as a user id like to have a redis based aggregation over fieldvalue counters so that i can continuously write the aggregation in redis as we ingest more data scope port specs from previous implementation identify gaps update reference documentation,3,springxd
15664,17212,XD-2590,create messageconverter interface to allow user extensions,as a user id like to have the option to extend the default message handling behavior for http sourcemodule so that i can override the settings via _serversyml_ to control the default message size notes the adapter currently has that hardcoded in the httpchunkaggregator we will have to expose this property for overrides related pr,3,springxd
15670,17219,XD-2597,add an xdyarn info command to list admin servers and ports,as a user deploying xd on yarn i need a convenient way to get info like the admin port for my current deployment best way for now would be to add an info command to the xdyarn script with the latest changes the admin server runs on a random port when we deploy to yarn in order for the user to connect they would have to query zookeeper this is inconvenient,5,springxd
